2017-10-22 10:03:13.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:04:13.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:05:14.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:06:14.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:07:14.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:08:14.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:09:15.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:10:15.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:11:15.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:12:16.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:13:16.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:14:17.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:15:18.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:16:19.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:17:20.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:18:21.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:19:22.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:20:22.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:21:22.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:22:23.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:23:24.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:24:24.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:25:25.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:26:26.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:27:26.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:28:27.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:29:27.000000,5549.5534N,00313.1315W,237.3,0,-0.0
2017-10-22 10:30:27.000000,5549.5621N,00313.1334W,232.8,0,-0.0
